movieId,pop_count,mean_rating,bayes,title,genres
318,2227,4.554557700942973,4.533192016974732,"Shawshank Redemption, The (1994)",Drama
858,2223,4.524966261808367,4.504213912297169,"Godfather, The (1972)",Action|Crime|Drama
50,1783,4.517106001121705,4.49158659173566,"Usual Suspects, The (1995)",Crime|Thriller
527,2304,4.510416666666667,4.4906874352809965,Schindler's List (1993),Drama|War
2019,628,4.560509554140127,4.4883159626127815,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama
1198,2514,4.477724741447892,4.460248916790743,Raiders of the Lost Ark (1981),Action|Adventure
1148,882,4.507936507936508,4.458238436321315,"Wrong Trousers, The (1993)",Animation|Comedy
745,657,4.52054794520548,4.45414175763998,"Close Shave, A (1995)",Animation|Comedy|Thriller
260,2991,4.453694416583082,4.439354890710774,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
904,1050,4.476190476190476,4.435525656955878,Rear Window (1954),Mystery|Thriller
750,1367,4.4498902706656915,4.419250686415996,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
922,470,4.491489361702127,4.4039965820220495,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir
2762,2459,4.406262708418057,4.389827908589664,"Sixth Sense, The (1999)",Thriller
912,1669,4.412822049131217,4.388643526847857,Casablanca (1942),Drama|Romance|War
1207,928,4.425646551724138,4.382493070195773,To Kill a Mockingbird (1962),Drama
1212,480,4.452083333333333,4.369958910663143,"Third Man, The (1949)",Mystery|Thriller
1193,1725,4.390724637681159,4.3679313930430785,One Flew Over the Cuckoo's Nest (1975),Drama
913,1043,4.395973154362416,4.3587174955640124,"Maltese Falcon, The (1941)",Film-Noir|Mystery
1204,831,4.401925391095066,4.355366881556715,Lawrence of Arabia (1962),Adventure|War
908,1315,4.38403041825095,4.354636060550524,North by Northwest (1959),Drama|Thriller
923,1116,4.388888888888889,4.354269487694224,Citizen Kane (1941),Drama
1250,938,4.386993603411514,4.346233018878002,"Bridge on the River Kwai, The (1957)",Drama|War
3435,551,4.415607985480944,4.346220004411757,Double Indemnity (1944),Crime|Film-Noir
720,438,4.426940639269406,4.340324226744807,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
593,2578,4.3518231186966645,4.337168273459462,"Silence of the Lambs, The (1991)",Drama|Thriller
1221,1692,4.357565011820331,4.335291746642632,"Godfather: Part II, The (1974)",Action|Crime|Drama
2028,2653,4.337353938937053,4.323373371310199,Saving Private Ryan (1998),Action|Drama|War
1262,696,4.376436781609195,4.323161156369257,"Great Escape, The (1963)",Adventure|War
1178,230,4.473913043478261,4.314565080898093,Paths of Glory (1957),Drama|War
1136,1599,4.335209505941213,4.31235792762369,Monty Python and the Holy Grail (1974),Comedy
1252,1185,4.339240506329114,4.308565362470822,Chinatown (1974),Film-Noir|Mystery|Thriller
2858,3428,4.3173862310385065,4.306807999612268,American Beauty (1999),Comedy|Drama
2571,2590,4.315830115830116,4.301923569186162,"Matrix, The (1999)",Action|Sci-Fi|Thriller
2324,1152,4.329861111111111,4.298733962272434,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama
1197,2318,4.3037100949094045,4.288462087268355,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
1267,765,4.333333333333333,4.287212543130633,"Manchurian Candidate, The (1962)",Film-Noir|Thriller
1223,473,4.361522198731501,4.2869564486643705,"Grand Day Out, A (1992)",Animation|Comedy
1234,1049,4.320305052430887,4.286695380028632,"Sting, The (1973)",Comedy|Crime
1196,2990,4.292976588628763,4.281275731135351,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War
1233,1001,4.302697302697303,4.268390316509482,"Boat, The (Das Boot) (1981)",Action|Drama|War
296,2171,4.278212805158913,4.262529591468467,Pulp Fiction (1994),Crime|Drama
3307,271,4.387453874538745,4.261925927263134,City Lights (1931),Comedy|Drama|Romance
910,832,4.300480769230769,4.2597258760220695,Some Like It Hot (1959),Comedy|Crime
1213,1657,4.275196137598069,4.254878865056512,GoodFellas (1990),Crime|Drama
541,1800,4.273333333333333,4.254636877108901,Blade Runner (1982),Film-Noir|Sci-Fi
953,729,4.299039780521262,4.252988732543602,It's a Wonderful Life (1946),Drama
1284,541,4.312384473197782,4.250555368276592,"Big Sleep, The (1946)",Film-Noir|Mystery
3030,215,4.404651162790698,4.249351783590438,Yojimbo (1961),Comedy|Drama|Western
898,582,4.3006872852233675,4.243794656094091,"Philadelphia Story, The (1940)",Comedy|Romance
1203,616,4.295454545454546,4.241859193170369,12 Angry Men (1957),Drama
608,2513,4.254675686430561,4.241544370913564,Fargo (1996),Crime|Drama|Thriller
899,751,4.2836218375499335,4.239798030775862,Singin' in the Rain (1952),Musical|Romance
2186,482,4.304979253112033,4.236989140322304,Strangers on a Train (1951),Film-Noir|Thriller
903,905,4.27292817679558,4.236731123195252,Vertigo (1958),Mystery|Thriller
1172,615,4.287804878048781,4.234704094212731,Cinema Paradiso (1988),Comedy|Drama|Romance
919,1718,4.247962747380675,4.22911664177119,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical
3089,252,4.357142857142857,4.228735836594258,"Bicycle Thief, The (Ladri di biciclette) (1948)",Drama
1225,1382,4.251808972503618,4.228406580063873,Amadeus (1984),Drama
1278,1193,4.250628667225482,4.223715384273102,Young Frankenstein (1974),Comedy|Horror
930,445,4.29438202247191,4.222380247780738,Notorious (1946),Film-Noir|Romance|Thriller
110,2443,4.234957020057307,4.2218524759933675,Braveheart (1995),Action|Drama|War
969,1057,4.251655629139073,4.2213895416905745,"African Queen, The (1951)",Action|Adventure|Romance|War
1247,1261,4.245836637589215,4.220502076774573,"Graduate, The (1967)",Drama|Romance
1276,930,4.253763440860215,4.219467574134149,Cool Hand Luke (1967),Comedy|Drama
3429,274,4.335766423357664,4.219377230405759,Creature Comforts (1990),Animation|Comedy
1254,453,4.289183222958058,4.218843384992974,"Treasure of the Sierra Madre, The (1948)",Adventure
1272,645,4.266666666666667,4.2173787376280085,Patton (1970),Drama|War
1208,1176,4.243197278911564,4.216213884707558,Apocalypse Now (1979),Drama|War
2804,1352,4.238905325443787,4.215462355671517,"Christmas Story, A (1983)",Comedy|Drama
3022,206,4.368932038834951,4.215149307232289,"General, The (1927)",Comedy
1224,426,4.286384976525822,4.21234920725098,Henry V (1989),Drama|War
1945,519,4.269749518304431,4.209276313974456,On the Waterfront (1954),Crime|Drama
1147,277,4.32129963898917,4.208190283337816,When We Were Kings (1996),Documentary
1299,732,4.248633879781421,4.205982381907245,"Killing Fields, The (1984)",Drama|War
1617,2288,4.219405594405594,4.205764851433475,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
1260,308,4.3019480519480515,4.201335817462195,M (1931),Crime|Film-Noir|Thriller
3114,1585,4.218927444794953,4.199436221805178,Toy Story 2 (1999),Animation|Children's|Comedy
905,374,4.280748663101604,4.198297694932702,It Happened One Night (1934),Comedy
2692,1072,4.224813432835821,4.196148148530718,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
3897,994,4.22635814889336,4.19547722476194,Almost Famous (2000),Comedy|Drama
1219,1263,4.218527315914489,4.1942713043804005,Psycho (1960),Horror|Thriller
1304,1419,4.215644820295983,4.194062779204538,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western
1131,216,4.324074074074074,4.184504596434082,Jean de Florette (1986),Drama
1217,357,4.26890756302521,4.184467377522029,Ran (1985),Drama|War
3730,453,4.249448123620309,4.183058096722596,"Conversation, The (1974)",Drama|Mystery
1358,1177,4.208156329651657,4.182622838346753,Sling Blade (1996),Drama|Thriller
926,403,4.255583126550868,4.181188129473434,All About Eve (1950),Drama
2329,640,4.2265625,4.179823511089081,American History X (1998),Drama
2905,69,4.608695652173913,4.177127921440889,Sanjuro (1962),Action|Adventure
951,397,4.249370277078086,4.1746716390413106,His Girl Friday (1940),Comedy
3468,450,4.24,4.174156445302931,"Hustler, The (1961)",Drama
3683,628,4.218152866242038,4.171206818070009,Blood Simple (1984),Drama|Film-Noir
3469,268,4.279850746268656,4.170057303935428,Inherit the Wind (1960),Drama
1242,1112,4.193345323741007,4.167020845655306,Glory (1989),Action|Drama|War
1104,483,4.225672877846791,4.16524994868943,"Streetcar Named Desire, A (1951)",Drama
2731,187,4.320855614973262,4.164887015407029,"400 Blows, The (Les Quatre cents coups) (1959)",Drama
954,383,4.240208877284595,4.164152939148882,Mr. Smith Goes to Washington (1939),Drama
3134,165,4.33939393939394,4.163154523960307,"Grand Illusion (Grande illusion, La) (1937)",Drama|War
1256,594,4.21043771043771,4.161612146974326,Duck Soup (1933),Comedy|War
111,1240,4.183870967741935,4.160525753993384,Taxi Driver (1976),Drama|Thriller
1248,514,4.215953307392996,4.159713160729549,Touch of Evil (1958),Crime|Film-Noir|Thriller
1704,1548,4.176356589147287,4.15774607174685,Good Will Hunting (1997),Drama
3196,394,4.228426395939087,4.155581582548347,Stalag 17 (1953),Drama|War
1288,1118,4.179785330948121,4.154176560489268,This Is Spinal Tap (1984),Comedy|Drama|Musical
678,306,4.245098039215686,4.1519051198074886,Some Folks Call It a Sling Blade (1993),Drama|Thriller
2357,215,4.283720930232558,4.1512385760432675,Central Station (Central do Brasil) (1998),Drama
916,425,4.216470588235294,4.149638363476771,Roman Holiday (1953),Comedy|Romance
246,716,4.18854748603352,4.148927183618102,Hoop Dreams (1994),Documentary
2203,233,4.2703862660944205,4.148686299121787,Shadow of a Doubt (1943),Film-Noir|Thriller
1189,269,4.25278810408922,4.147580635271053,"Thin Blue Line, The (1988)",Documentary
1228,677,4.1875923190546525,4.145912273248233,Raging Bull (1980),Drama
1214,2024,4.159584980237154,4.14565005913764,Alien (1979),Action|Horror|Sci-Fi|Thriller
3462,305,4.2360655737704915,4.143882317328073,Modern Times (1936),Comedy
950,292,4.239726027397261,4.143503575004286,"Thin Man, The (1934)",Mystery
306,334,4.227544910179641,4.1434328714881925,Three Colors: Red (1994),Drama
1240,2098,4.152049571020019,4.138770122277219,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1237,299,4.230769230769231,4.137759950290733,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
1132,220,4.259090909090909,4.133623046857281,Manon of the Spring (Manon des sources) (1986),Drama
1,2077,4.146846413095811,4.133558167678169,Toy Story (1995),Animation|Children's|Comedy
928,386,4.204663212435233,4.133206932686848,Rebecca (1940),Romance|Thriller
3147,1222,4.154664484451718,4.132136967493291,"Green Mile, The (1999)",Drama|Thriller
1269,672,4.168154761904762,4.12753216433721,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller
1235,697,4.164992826398852,4.125941395785095,Harold and Maude (1971),Comedy
1230,1334,4.14167916041979,4.121443802493833,Annie Hall (1977),Comedy|Romance
2859,239,4.2343096234309625,4.121377933050055,Stop Making Sense (1984),Documentary
1291,1628,4.133292383292384,4.116852337694557,Indiana Jones and the Last Crusade (1989),Action|Adventure
2396,2369,4.127479949345715,4.11619604078192,Shakespeare in Love (1998),Comedy|Romance
1089,1259,4.13582208101668,4.114651048626024,Reservoir Dogs (1992),Crime|Thriller
2997,2241,4.125390450691656,4.11352170347074,Being John Malkovich (1999),Comedy
1283,403,4.1786600496277915,4.112755458391757,High Noon (1952),Western
914,636,4.154088050314465,4.112358925147909,My Fair Lady (1964),Musical|Romance
1949,219,4.232876712328767,4.111814954094668,"Man for All Seasons, A (1966)",Drama
942,292,4.2020547945205475,4.111339832314227,Laura (1944),Crime|Film-Noir|Mystery
1200,1820,4.125824175824176,4.111271776818966,Aliens (1986),Action|Sci-Fi|Thriller|War
1036,1666,4.121848739495798,4.106106190356331,Die Hard (1988),Action|Thriller
955,413,4.169491525423729,4.106000480888696,Bringing Up Baby (1938),Comedy
2300,658,4.144376899696049,4.104630257982296,"Producers, The (1968)",Comedy|Musical
1293,671,4.141579731743666,4.102743720737123,Gandhi (1982),Drama
1201,822,4.133819951338199,4.10215392505902,"Good, The Bad and The Ugly, The (1966)",Action|Western
1294,1099,4.124658780709736,4.101025433117028,M*A*S*H (1970),Comedy|War
3801,199,4.231155778894473,4.100715753620345,Anatomy of a Murder (1959),Drama|Mystery
3091,141,4.283687943262412,4.099885982468408,Kagemusha (1980),Drama|War
2918,1473,4.11744738628649,4.099854381255066,Ferris Bueller's Day Off (1986),Comedy
911,306,4.183006535947713,4.098534333290635,Charade (1963),Comedy|Mystery|Romance|Thriller
3634,165,4.254545454545455,4.098038244890539,Seven Days in May (1964),Thriller
1927,268,4.1940298507462686,4.0977302599102705,All Quiet on the Western Front (1930),War
3629,275,4.189090909090909,4.095625300466049,"Gold Rush, The (1925)",Comedy
1253,559,4.141323792486583,4.095366539657579,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi
2501,588,4.137755102040816,4.094166493184115,October Sky (1999),Drama
3578,1924,4.106029106029106,4.092744793643093,Gladiator (2000),Action|Drama
1218,244,4.19672131147541,4.0921027981342375,"Killer, The (Die xue shuang xiong) (1989)",Action|Thriller
1449,462,4.147186147186147,4.091949653616144,Waiting for Guffman (1996),Comedy
1222,1254,4.110845295055821,4.090550784241921,Full Metal Jacket (1987),Action|Drama|War
457,1995,4.103258145363409,4.090502798362575,"Fugitive, The (1993)",Action|Thriller
2360,117,4.3076923076923075,4.090288758392011,"Celebration, The (Festen) (1998)",Drama
3035,421,4.149643705463183,4.08933805233857,Mister Roberts (1955),Comedy|Drama|War
3095,521,4.134357005758157,4.085951353154931,"Grapes of Wrath, The (1940)",Drama
47,1137,4.106420404573439,4.084311897768716,Seven (Se7en) (1995),Crime|Thriller
1259,1785,4.0969187675070025,4.082876415613877,Stand by Me (1986),Adventure|Comedy|Drama
1280,277,4.1732851985559565,4.082808020340875,Raise the Red Lantern (1991),Drama
2788,451,4.137472283813747,4.081992460382168,And Now for Something Completely Different (1971),Comedy
1258,1087,4.104875804967802,4.081862992657402,"Shining, The (1980)",Horror
