movieId,title,num_ratings,avg_rating,bayes_score
318,"Shawshank Redemption, The (1994)",2227,4.554557700942973,4.533192016974733
858,"Godfather, The (1972)",2223,4.524966261808367,4.504213912297169
50,"Usual Suspects, The (1995)",1783,4.517106001121705,4.49158659173566
527,Schindler's List (1993),2304,4.510416666666667,4.490687435280997
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),628,4.560509554140127,4.4883159626127815
1198,Raiders of the Lost Ark (1981),2514,4.477724741447892,4.460248916790743
1148,"Wrong Trousers, The (1993)",882,4.507936507936508,4.458238436321316
745,"Close Shave, A (1995)",657,4.52054794520548,4.45414175763998
260,Star Wars: Episode IV - A New Hope (1977),2991,4.453694416583082,4.439354890710774
904,Rear Window (1954),1050,4.476190476190476,4.435525656955878
